GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Stark Database Migration,stark.migration,Cascade.,26,16,0,0,1,2,8,3,8,3
Stark Database Migration,stark.migration,Delete.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,DecimalType.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,Vendor,8,0,0,0,0,0,2,0,2,0
Stark Database Migration,stark.migration,MysqlBigintColumnDefinition,8,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,MysqlClobColumnDefinition,9,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,MysqlVarcharColumnDefinition,20,0,0,0,3,0,3,0,3,0
Stark Database Migration,stark.migration,DefaultBigintColumnDefinition,0,5,0,0,0,2,0,2,0,2
Stark Database Migration,stark.migration,H2,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,Unique.,28,10,0,0,2,1,9,2,9,2
Stark Database Migration,stark.migration,Restrict,26,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,SetNull.,42,0,0,0,3,0,11,0,11,0
Stark Database Migration,stark.migration,OracleSmallintColumnDefinition,5,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,LowercaseUnquotedNameConverter,27,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,MigrateToVersion,105,11,14,0,0,2,21,2,14,2
Stark Database Migration,stark.migration,PrimaryKey,26,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,InstallAllMigrations,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,Postgresql,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,H2SmallintColumnDefinition,0,8,0,0,0,2,0,2,0,2
Stark Database Migration,stark.migration,MysqlSmallintColumnDefinition,8,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,UppercaseUnquotedNameConverter,27,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,SchemaDumperSupport.Index,183,0,34,0,1,0,34,0,16,0
Stark Database Migration,stark.migration,AllPrivileges.,26,10,0,0,1,1,8,2,8,2
Stark Database Migration,stark.migration,Unique,26,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,OracleCharColumnDefinition,15,0,2,0,3,0,3,0,2,0
Stark Database Migration,stark.migration,H2.,26,10,0,0,1,1,8,2,8,2
Stark Database Migration,stark.migration,MysqlAppendCharacterSetToColumnDefinitionMixin,109,0,10,0,18,0,8,0,3,0
Stark Database Migration,stark.migration,PostgresqlByteaColumnDefinition,5,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,DefaultIntegerColumnDefinition,0,5,0,0,0,2,0,2,0,2
Stark Database Migration,stark.migration,Referencing.,27,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,CreateSchemaMigrationsTableMigration,4,66,0,0,1,7,1,4,1,4
Stark Database Migration,stark.migration,OracleVarcharColumnDefinition,15,0,2,0,3,0,3,0,2,0
Stark Database Migration,stark.migration,DatabaseAdapter.,6,74,1,11,0,15,1,8,0,3
Stark Database Migration,stark.migration,Up,26,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,Comment,117,11,18,0,1,1,24,2,15,2
Stark Database Migration,stark.migration,PostgresqlBigintColumnDefinition,11,0,2,0,3,0,3,0,2,0
Stark Database Migration,stark.migration,OnUpdate,104,11,18,0,0,2,23,2,14,2
Stark Database Migration,stark.migration,ForEachRow,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,SchemaDumperSupport.Column,187,0,32,0,2,0,39,0,22,0
Stark Database Migration,stark.migration,H2TimestampColumnDefinition,0,9,0,0,0,2,0,2,0,2
Stark Database Migration,stark.migration,User.,0,13,0,0,0,3,0,3,0,3
Stark Database Migration,stark.migration,InsertPrivilege,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,TimestampType,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,DerbySmallintColumnDefinition,8,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,RawAndLoggingConnections,0,15,0,0,0,3,0,3,0,3
Stark Database Migration,stark.migration,UsagePrivilege,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,DuplicateTriggerException,4,0,0,0,2,0,1,0,1,0
Stark Database Migration,stark.migration,DefaultClobColumnDefinition,0,5,0,0,0,2,0,2,0,2
Stark Database Migration,stark.migration,Options,3,0,0,0,1,0,1,0,1,0
Stark Database Migration,stark.migration,Up.,26,16,0,0,1,2,8,3,8,3
Stark Database Migration,stark.migration,AutoIncrement,26,0,0,0,0,0,8,0,8,0
Stark Database Migration,stark.migration,Name.,27,0,2,0,1,0,7,0,6,0
Stark Database Migration,stark.migration,Migrator.,295,468,32,26,47,90,26,18,2,13
Stark Database Migration,stark.migration,SetDefault.,42,0,0,0,3,0,11,0,11,0
Stark Database Migration,stark.migration,BlobType.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,JavaMigrator,44,82,1,3,9,14,5,9,4,8
Stark Database Migration,stark.migration,Insert.,26,10,0,0,0,1,8,2,8,2
Stark Database Migration,stark.migration,NoAction.,42,0,0,0,3,0,11,0,11,0
Stark Database Migration,stark.migration,MissingMigrationClass,4,0,0,0,2,0,1,0,1,0
Stark Database Migration,stark.migration,Before,23,0,0,0,0,0,7,0,7,0
Stark Database Migration,stark.migration,When,115,0,18,0,1,0,25,0,16,0
Stark Database Migration,stark.migration,DerbyBigintColumnDefinition,8,0,0,0,2,0,2,0,2,0
Stark Database Migration,stark.migration,DefaultBooleanColumnDefinition,5,0,0,0,2,0,2,0,2,0
